TITOLO,ISSN
COMPUTATIONAL LINGUISTICS,1530-9312
COMPUTER MUSIC JOURNAL,0148-9267
COMPUTER SPEECH AND LANGUAGE,0885-2308
COMPUTERS & CHEMICAL ENGINEERING,0098-1354
COMUNICAÇÃO PÚBLICA,1646-1479
COMUNICAÇÕES GEOLÓGICAS,0873-948X
COMUNICARE,1827-0905
COMUNICARE LETTERATURA,2035-1232
COMUNICAZIONE POLITICA,1594-6061
COMUNICAZIONEPUNTODOC,2282-0140
COMUNICAZIONI SOCIALI,0392-8667
COMUNICAZIONI SOCIALI,1827-7969
COMUNICAZIONI SOCIALI ON-LINE,2037-0415
CONCEPTOS. REVISTA DE INVESTIGACIÓN GRACIANA,1697-2775
CONCORDIA DISCORS DISCORDIA CONCORS,2065-4057
CONFÉRENCE,1269-0732
CONFLUENCES EN MÉDITERRANÉE,1148-2664
CONFLUENCIA,0888-6091
CONFLUÊNCIAS,0872-5624
CONFLUENZE,2036-0967
CONFRATERNITAS,1180-0682
CONFRONTO,1129-2229
CONFRONTO,1721-6745
CONNOTATIONS,0939-5482
CONOSCENZE,1827-0069
"CONSCIOUSNESS, LITERATURE AND THE ARTS",1470-5648
CONSECUTIO TEMPORUM,2239-1061
CONSERVAR PATRIMÓNIO,1646-043X
CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES,1350-5033
CONSERVATION SCIENCE IN CULTURAL HERITAGE,1974-4951
CONSIDERAZIONI DI STORIA ED ARCHEOLOGIA,2039-4845
CONSIDERAZIONI DI STORIA ED ARCHEOLOGIA,2039-4853
CONSTRUCTION AND BUILDING MATERIALS,0950-0618
CONSTRUCTIONS,1860-2010
CONSTRUCTIONS AND FRAMES,1876-1933
CONTATTI,1826-6002
CONTEMPORANEA,0897-8271
CONTEMPORANEA,1127-3070
CONTEMPORANEA,1724-6105
CONTEMPORARY FRENCH AND FRANCOPHONE STUDIES,1740-9292
CONTEMPORARY LITERATURE,0010-7484
CONTEMPORARY LITERATURE,1548-9949
CONTEMPORARY MUSIC REVIEW,0749-4467
CONTEMPORARY PHYSICS,0010-7514
CONTEMPORARY POETRY REVIEW,.
CONTEMPORARY POLITICS,1356-9775
CONTEMPORARY THEATRE REVIEW,1026-7166
CONTEMPORARY THEATRE REVIEW,1048-6801
CONTEMPORARY WOMEN'S WRITING,1754-1476
CONTESTI,1126-2133
CONTESTI,2284-1954
CONTEXT,1524-2234
CONTINUUM,0195-6043
CONTRE BANDE,1265-1664
CONTRIBUTI DI FILOLOGIA DELL'ITALIA MEDIANA,1126-778X
CONTRIBUTI E MATERIALI DI ARCHEOLOGIA ORIENTALE,1120-9631
CONTRO TEMPO,1125-4661
CONVERGENCE,1354-8565
COOLABAH,1988-5946
COPTICA,1541-163X
CORPORA,1749-5032
CORPOSCRITTO,.
CORPUS,0296-8916
CORPUS,1638-9808
CORPUS LINGUISTICS AND LINGUISTIC THEORY,1613-7027
CORTEX,0010-9452
COSMO,2281-6658
COSMOPOLIS,1828-6771
COSMOS,0269-8773
COSTRUIRE IN LATERIZIO,0394-1590
COULISSES,1150-594X
CRACOW INDOLOGICAL STUDIES,1732-0917
CREPUSCOLI DOTTORALI,2039-6600
CRETA ANTICA,1724-3688
CRISTIANESIMO NELLA STORIA,0393-3598
CRÍTICA,0011-1503
CRITICA D'ARTE,0011-1511
CRITICA DEL TESTO,1127-1140
CRÍTICA HISPÁNICA,0278-7261
CRITICA LETTERARIA,0390-0142
CRITICA MARXISTA,0011-152X
CRITICA SOCIALE,0011-1538
CRITICAL APPROACHES TO DISCOURSE ANALYSIS ACROSS DISCIPLINES,1752-3079
CRITICAL ASIAN STUDIES,1467-2715
CRITICAL DISCOURSE STUDIES,1740-5904
CRITICAL DISCOURSE STUDIES,1740-5912
CRITICAL ENGAGEMENTS,1754-0984
CRITICAL INQUIRY,0093-1896
CRITICAL INQUIRY,1539-7858
CRITICAL STUDIES,0923-411X
CRITICAL STUDIES IN FASHION & BEAUTY,2040-4417
CRITICAL STUDIES IN TELEVISION,1749-6020
CRITICAL SURVEY,0011-1570
CRITICAL SURVEY,1752-2293
CRITICÓN,0247-381X
CRITIQUE,0011-1600
CRITIQUE,0011-1619
CRITIQUE INTERNATIONALE,1290-7839
CRKVENE STUDIJE,1820-2446
CROATICA ET SLAVICA IADERTINA,1845-6839
CROATICA ET SLAVICA IADERTINA,1849-0131
CROCEVIA,.
CROCEVIA,1972-0971
CRONACHE DI ARCHEOLOGIA,.
CRONACHE ERCOLANESI,0391-1535
CROSSINGS,1649-0460
CRUSCA PER VOI,1122-5149
CSSA PISA,.
CUADERNO INTERNACIONAL DE ESTUDIOS HUMANÍSTICOS Y LITERATURA,1521-8007
CUADERNOS AISPI,2283-981X
CUADERNOS AMERICANOS,0011-2356
CUADERNOS CERVANTES DE LA LENGUA ESPAÑOLA,1134-9468
CUADERNOS DE ALEPH,1886-5089
CUADERNOS DE ALEPH,2174-8713
CUADERNOS DE DRAMATURGIA CONTEMPORÁNEA,1137-0742
CUADERNOS DE FILOLOGIA CLASICA,0210-0746
CUADERNOS DE FILOLOGIA CLASICA - ESTUDIOS GRIEGOS E INDOEURPOEOS,1131-9070
CUADERNOS DE FILOLOGIA CLASICA. ESTUDIOS LATINOS,1131-9062
CUADERNOS DE FILOLOGÍA ITALIANA,1133-9527
CUADERNOS DE FILOLOGÍA ITALIANA,1988-2394
CUADERNOS DE ITALIA Y GRECIA,.
CUADERNOS DE ITALIANÍSTICA CUBANA,.
CUADERNOS DE LA CATEDRA MIGUEL DE UNAMUNO,0210-749X
CUADERNOS DE LITERATURA,0122-8102
CUADERNOS DE LITERATURA INGLESA Y NORTEAMERICANA,0328-9184
CUADERNOS DE MADINAT AL-ZAHRA',1139-9996
CUADERNOS DE MÚSICA IBEROAMERICANA,1136-5536
CUADERNOS DE PREHISTORIA Y ARQUEOLOGIA CASTELLONENSES,0212-1824
CUADERNOS DE PREHISTORIA Y ARQUEOLOGÍA DE LA UNIVERSIDAD DE GRANADA,2174-8063
CUADERNOS DE TEATRO CLASICO,0214-1388
CUADERNOS DEL CEMYR,1135-125X
CUADERNOS DEL LAZARILLO,1134-5292
CUADERNOS HISPANOAMERICANOS,0011-250X
CULTURA,1584-1057
CULTURA - REVISTA DE HISTORIA E TEORIA DAS IDEIAS,0870-4546
CULTURA & COMUNICAZIONE,2239-1916
CULTURA E DIRITTI,2280-6334
CULTURA E INTERCULTURA DE LA ENSEÑANZA DEL ESPAÑOL COMO LENGUA EXTRANJERA,1578-5238
CULTURA E PROSPETTIVE,2039-8255
CULTURA ITALO-GIAPPONESE,.
CULTURA LATINOAMERICANA. ANNALI ...,1827-4315
CULTURA LATINOAMERICANA. REVISTA DE ESTUDIOS INTERCULTURALES,2346-0326
CULTURA NEOLATINA,0391-5654
CULTURA TEDESCA,1720-514X
"CULTURA, LENGUAJE Y REPRESENTACIÓN",1697-7750
CULTURAL ANTHROPOLOGY,0886-7356
CULTURAL PERSPECTIVES,1224-239X
CULTURAL STUDIES OF SCIENCE EDUCATION,1871-1502
CULTURAL STUDIES REVIEW,1837-8692
CULTURAS POPULARES,1886-5623
CULTURE,.
CULTURE,0391-3430
CULTURE DEL TESTO,1126-7437
CULTURE ET MUSÉES,1766-2923
CULTURE MUSICALI,.
CULTURE TEATRALI,1825-8220
CULTUS,2035-2948
CULTUS,2035-3111
CUNEIFORM DIGITAL LIBRARY BULLETIN,1540-8760
CURRENT ANTHROPOLOGY,0011-3204
CURRENT BIOLOGY,0960-9822
CURRENT ISSUES IN LANGUAGE PLANNING,1466-4208
CURRENT ISSUES IN LANGUAGE PLANNING,1747-7506
CURRENT PHARMACEUTICAL DESIGN,1381-6128
CURRENT WORLD ARCHAEOLOGY,1745-5820
CURRENT WRITING,1013-929X
CYBERNETICS AND SYSTEMS,0196-9722
CYBERPSYCHOLOGY & BEHAVIOR,1094-9313
CYPSELA,0213-3431
CZECHOSLOVAK JOURNAL OF PHYSICS,0011-4626
DA QUI,.
DADA,2240-0192
DAESAN MUNHWA,1599-9882
DAF WERKSTATT,2279-5081
DAIDALOS,1594-0578
DAIDALOS,1721-6761
DAIMON,1130-0507
DALHOUSIE FRENCH STUDIES,0711-8813
DANCE RESEARCH,0264-2875
DANISH YEARBOOK OF MUSICOLOGY,1604-9896
DANSKE STUDIER,0106-4525
DANTE,1724-9058
DANTE,1824-9272
"DANTE STUDIES, WITH THE ANNUAL REPORT OF THE DANTE SOCIETY",0070-2862
DANZA E RICERCA,2036-1599
DAPESQUISA,1808-3129
DAPHNIS,0300-693X
DARKMATTER,2041-3254
DAS ACHTZEHNTE JAHRHUNDERT UND ÖSTERREICH,1015-406X
DAS ARGUMENT,0004-1157
DAVAR,.
DE ARTE,1696-0319
DE KÊMI À BIRIT NARI,1632-4129
DE KRONIEK VAN HET REMBRANDTHUIS,0166-0381
DE MUSICA,2465-0137
DE REBUS ANTIQUIS,2250-4923
DE STRATA FRANCIGENA,1722-9472
DEBATES DE ARQUEOLOGÍA MEDIEVAL,.
DEBRECENI DISPUTA,1785-5152
DECART,1723-803X
DEDALUS,0871-9519
DEGRÉS,0376-8163
DEKADA LITERACKA,0867-4094
DEN BLÅ PORT,0900-8160
"DEP. DEPORTATE, ESULI, PROFUGHE",1824-4483
DER BLAUE REITER,0947-6563
DER DEUTSCHE LEHRER IM AUSLAND,0724-5343
DER ISLAM,0021-1818
DER SCHLERN,0036-6145
DER SPRACHDIENST,0038-8459
DEREKH. JUDAICA URBINATENSIA,.
DESHIMA,1957-5173
DESIGN ISSUES,0747-9360
DESIGN ISSUES,1531-4790
DESIGN PRINCIPLES & PRACTICES,1833-1874
DESIGN STUDIES. THE INTERDISCIPLINARY JOURNAL OF DESIGN RESEARCH,0142-694X
DESIGNIS,1578-4223
"DESIPIENTIA, ZIN & WAAN",1386-1069
DESMOS LE LIEN,1299-734X
DESTIEMPOS.COM,1607-5768
DEUTSCH ALS FREMDSPRACHE,0011-9741
DEUTSCHE SPRACHE,0340-9341
DEUTSCHE VIERTELJAHRSSCHRIFT FUER LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,0012-0936
DEUTSCHES ARCHIV FÜR ERFORSCHUNG DES MITTELALTERS,0012-1223
DEUTSCHES DANTE - JAHRBUCH,0070-444X
DEUTSCHES DANTE-JAHRBUCH,2194-4059
DEUTSCHUNTERRICHT,0340-2258
DEVELOPMENTAL SCIENCE,1363-755X
DIACHRONIA,1107-9029
DIACHRONICA,0176-4225
DIACRITICS,0300-7162
DIALECTICA,0012-2017
DIALECTICAL ANTHROPOLOGY,0304-4092
DIALECTOLOGIA ET GEOLINGUISTICA,0942-4040
DIALEGESTHAI,1128-5478
DIALETTICA E FILOSOFIA,1974-417X
DIALOGHI DI STORIA DELL'ARTE,1124-3880
DIALOGHI INTERNAZIONALI,1971-5595
DIALOGUES D'HISTOIRE ANCIENNE,0755-7256
DIALOGUES ET CULTURES,0226-6881
DIAMANTE,1824-5765
DIANOIA,1125-1514
DIARIO,1974-2134
DIÁRIO,.
DIASPORAS,1637-5823
DIASPORIQUES,1276-4248
DICENDA,0212-2952
DICENDA,1988-2556
DICKENS QUARTERLY,0742-5473
DICKENS QUARTERLY,2169-5377
DICTYNNA,1765-3142
DIDÁCTICA,1130-0531
DIDASKALIA,1321-4853
DIDATTICAMENTE,1827-0794
DIE ORTENAU,0342-1503
DIE SPRACHE,0376-401X
DIE WELT DER SLAVEN,0043-2520
DIE WELT DES ISLAMS,0043-2539
DIE WELT DES ORIENTS,0043-2547
DIECIOCHO,0163-0415
DIEGESIS,2195-2116
DIGITAL HUMANITIES QUARTERLY,1938-4122
DIGITAL MEDIEVALIST,1715-0736
DIGITAL SCHOLARSHIP IN THE HUMANITIES,2055-7671
DIKE,1128-8221
DIKE KAI NOMOS,2239-0529
DIMENSIONI E PROBLEMI DELLA RICERCA STORICA,1125-517X
DINTORNI,.
DIOGÈNE,0419-1633
DIOMEDE,1827-5931
DIONISO,1722-0238
DIONISO,1824-0240
DIONYSIANA,1843-9489
DIONYSUS EX MACHINA,2038-5137
DIPLOMATIC HISTORY,0145-2096
DIRITTO DELLE RELAZIONI INDUSTRIALI,1121-8762
DIRITTO E CULTURA,1824-4572
DIRITTO E GIURISPRUDENZA,0012-3439
DIRITTO E RELIGIONI,1970-5301
DIRITTO IMMIGRAZIONE E CITTADINANZA,1720-433X
DIRITTO PENALE E PROCESSO,1591-5611
DIRITTO ROMANO ATTUALE,1128-8655
DIRITTO@STORIA,1825-0300
DISCIPLINE FILOSOFICHE,1591-9625
DISCOURS,1963-1723
DISCOURSE & COMMUNICATION,1750-4813
DISCOURSE & SOCIETY,0957-9265
DISCOURSE PROCESSES,0163-853X
DISCOURSE STUDIES,1461-4456
"DISCOURSE, CONTEXT AND MEDIA",2211-6958
DISCURSO,0214-2295
DISCURSUL SPECIALIZAT - TEORIE SI PRACTICA,1843-8423
DISPUTATIO,0873-626X
DIVADELNÍ REVUE,0862-5409
DIVUS THOMAS,0012-4257
DIX-HUITIÈME SIÈCLE,0070-6760
DIX-HUITIÈME SIÈCLE,1760-7892
DIX-NEUF,1478-7318
DOCERE,1720-9552
DOCTOR VIRTUALIS,2035-7362
DOCUMENT DESIGN,1388-8951
DOCUMENTA & INSTRUMENTA,1697-4328
DOCUMENTA ALBANA,0393-0017
DOCUMENTA PRAEHISTORICA,1408-967X
DOCUMENTA PRAEHISTORICA,1854-2492
DOCUMENTACIÓN DE LAS CIENCIAS DE LA INFORMACIÓN,0210-4210
DOCUMENTACIÓN SOCIAL,0417-8106
DOCUMENTI E STUDI SULLA TRADIZIONE FILOSOFICA MEDIEVALE,1122-5750
DOCUMENTS POUR L'HISTOIRE DU FRANÇAIS LANGUE ÉTRANGÈRE OU SECONDE,0992-7654
DOLETIANA,1988-3366
DOLOMITI,1126-2095
DOMUS,0012-5377
DOR,.
DOS ALGARVES,0873-7347
DO-SO-MO,1732-7636
DOSSIER DE L'ART,1161-3122
DOURO,0873-3899
DRAMATHERAPY,0263-0672
DRAMMATURGIA,1122-9365
DRAMMATURGIA MUSICALE E ALTRI STUDI,.
DREVNJAJA RUS'. VOPROSY MEDIEVISTIKI,2071-9574
DROSTE-JAHRBUCH,0931-9336
DRUGOJ GID,.
DUEL,1128-6628
DUELLANTI,1724-3580
DUMBARTON OAKS PAPERS,0070-7546
DUTCH CROSSING,0309-6564
DUTCH CROSSING,1759-7854
DWF,0393-9014
E/C,1970-7452
E/C,1973-2716
EADEM UTRAQUE EUROPA,1885-7221
EAJS NEWSLETTER,1025-9996
EARLY AMERICAN LITERATURE,0012-8163
EARLY AMERICAN LITERATURE,1534-147X
EARLY CHILD DEVELOPMENT AND CARE,0300-4430
EARLY HUMAN DEVELOPMENT,0378-3782
EARLY MEDIEVAL EUROPE,0963-9462
EARLY MUSIC,0306-1078
EARLY MUSIC HISTORY,0261-1279
EARLY MUSIC HISTORY,1474-0559
EARLY SCIENCE AND MEDICINE,1383-7427
EARLY THEATRE,1206-9078
EARTH AND PLANETARY SCIENCE LETTERS,0012-821X
EARTH SURFACE PROCESSES AND LANDFORMS,0197-9337
EAST AND WEST,0012-8376
EAST EUROPEAN HUMAN RIGHTS REVIEW,1382-7987
EAST EUROPEAN QUARTERLY,0012-8449
ECCLESIA ORANS,1010-3872
ECDOTICA,1825-5361
"ÉCHO DES ÉTUDES ROMANES",1801-0865
"ÉCHO DES ÉTUDES ROMANES",1804-8358
ECLOGA,1473-2769
ECONOMIA & MANAGEMENT,1120-5032
ECONOMIA DELLA CULTURA,1122-7885
ECONOMIA ITALIANA,0392-775X
ECONOMIC HISTORY REVIEW,0013-0117
ECONOMY AND SOCIETY,0308-5147
ECOZON@,2171-9594
ECRITURES,.
EDAD DE ORO,0212-0429
EDDA,0013-0818
EDINBURGH REVIEW,0267-6672
EDITIO,0931-3079
EDITIO,1865-9446
EDUCAÇÃO,0101-465X
EDUCATION ET SOCIÈTES PLURILINGUES,1127-266X
EDUCAZIONE,2280-7837
EDUCAZIONE LINGUISTICA LANGUAGE EDUCATION,2280-6792
EDUCAZIONE PERMANENTE,.
EGE INGILIZ VE AMERIKAN INCELEMELERI DERGISI,1300-574X
EGITTO E VICINO ORIENTE,0392-6885
EGYPTIAN & EGYPTOLOGICAL DOCUMENTS ARCHIVES LIBRARIES,2038-2286
EGYPTIAN ARCHAEOLOGY,0962-2837
EHUMANISTA,1540-5877
EIDOLA,1824-6192
EIGHTEENTH-CENTURY FICTION,0840-6286
EIGHTEENTH-CENTURY STUDIES,0013-2586
EIGHTEENTH-CENTURY STUDIES,1086-315X
EIKASMOS,1121-8819
EIRENE,0046-1628
EJOS,0928-6802
EL ALEPH,.
EL CORREO DE EUCLIDES,1887-0023
EL GENIO MALIGNO,1988-3927
EL GHIBLI,1824-663X
EL HABLADOR.COM,1729-1763
EL HILO DE LA FÁBULA,1667-7900
EL MAQUINISTA DE LA GENERACIÓN,1577-340X
E-LEARNING PAPERS,1887-1542
ELECTRONIC ANTIQUITY,1320-3606
ELECTRONIC BULLETIN OF THE DANTE SOCIETY OF AMERICA,1545-8415
ELENCHOS,0392-7342
ELEPHANT & CASTLE,1826-6118
"ÉLETÜNK",0133-4751
ELH,0013-8304
ELH - ENGLISH LITERARY HISTORY,1080-6547
ELIXIR ONLINE JOURNAL,2229-712X
ELOPE,1581-8918
ELT JOURNAL,0951-0893
ELT NEWSLETTER,1005-538X
EM,1593-926X
EMBLEMATICA,0885-968X
EMERGING INFECTIOUS DISEASES,1080-6040
EMÉRITA,0013-6662
EMPIRICAL STUDIES OF THE ARTS,0276-2374
ENCO JOURNAL,.
ENFANCE,0013-7545
ENGLISH,0013-8215
ENGLISH FOR SPECIFIC PURPOSES,0889-4906
ENGLISH FOR SPECIFIC PURPOSES WORLD,1682-3257
ENGLISH IN AFRICA,0376-8902
ENGLISH LANGUAGE AND LINGUISTICS,1360-6743
ENGLISH LANGUAGE NOTES,0013-8282
ENGLISH STUDIES,0013-838X
ENGLISH STUDIES,1744-4217
ENGLISH STUDIES ...,.
ENGLISH TEACHING FORUM,1559-663X
ENGLISH TEACHING PROFESSIONAL,1362-5276
ENGLISH TEXT CONSTRUCTION,1874-8767
ENGLISH TODAY,0266-0784
ENGLISH WORLD-WIDE,0172-8865
ENGLISHES,1593-2494
ENIM,2102-6629
ENTHYMEMA,2037-2426
ENTRE LENGUAS. REVISTA DEL CENTRO DE INVESTIGACIONES EN LENGUAS EXTRANJERAS,1316-7189
ENTRECULTURAS,1989-5097
ENTREMEIOS,2179-3514
ENTREPASADOS,0327-649X
ENTRETEXTOS,1696-7356
ENVIRONMENT AND HISTORY,0967-3407
ENVIRONMENTAL ARCHAEOLOGY,1461-4103
ENVIRONMENTAL EARTH SCIENCES,1866-6280
ENVIRONMENTAL HISTORY,1084-5453
EOS,0012-7825
EPETERIDA. KENTRO EPISTEMONIKON EREUNON,1450-006X
EPHEMERIDES THEOLOGICAE LOVANIENSES,0013-9513
EPIGRAPHICA,0013-9572
EPIGRAPHICA ANATOLICA,0174-6545
EPIPHANY,1840-3719
EPOKHI,1310-2141
EPOS,0213-201X
E-PRESERVATION SCIENCE,1854-3928
EQUILIBRI,1594-7580
ERENTZIAS,.
ERGA / LOGOI,2280-9678
ERGA / LOGOI,2282-3212
ERMENEUTICA LETTERARIA,1825-6619
ERMENEUTICA LETTERARIA,1827-8957
ERUDITIO ANTIQUA,2105-0791
"ERWAGEN, WISSEN, ETHIK",1610-3696
ERYTHEIA,0213-1986
ES,0210-9689
ESAMIZDAT,1723-4042
ESCRITURA & PENSAMIENTO,1561-087X
ESCRITURAL,2102-5797
ESCRITURAS,1515-2448
ESERCIZI ARTE MUSICA SPETTACOLO,0393-6791
ESERCIZI CRITICI. LETTERATURA ED ALTRO,1723-0861
ESP ACROSS CULTURES,1972-8247
"ESPACIO, TIEMPO Y FORMA. SERIE II, HISTORIA ANTIGUA",1130-1082
"ESPACIO, TIEMPO Y FORMA. SERIE III, HISTORIA MEDIEVAL",0214-9745
"ESPACIO, TIEMPO Y FORMA. SERIE IV, HISTORIA MODERNA",1131-768X
"ESPACIO, TIEMPO Y FORMA. SERIE V, HISTORIA CONTEMPORÁNEA",1130-0124
"ESPACIO, TIEMPO Y FORMA. SERIE VII, HISTORIA DEL ARTE",1130-4715
E-SPANIA,1951-6169
ESPAÑOL ACTUAL,1135-867X
ESPÉCULO,1139-3637
ESPERIDE. CULTURA ARTISTICA IN CALABRIA,2035-2166
ESPERIENZE LETTERARIE,0392-3495
ESSAYS & FICTIONS,.
ESSAYS IN CRITICISM,0014-0856
ESSAYS IN CRITICISM,1471-6852
ESTETICA,1824-3126
ESTRENO,0097-8663
ESTUDIOS BIBLICOS,0014-1437
ESTUDIOS CLASICOS,0014-1453
ESTUDIOS DE ASIA & AFRICA,0185-0164
ESTUDIOS DE CULTURA MAYA,0185-2574
ESTUDIOS DE DIALECTOLOGÍA NORTEAFRICANA Y ANDALUSÍ,1137-7968
ESTUDIOS DE FONÉTICA EXPERIMENTAL,1575-5533
ESTUDIOS DE LINGÜÍSTICA,0212-7636
ESTUDIOS DE LINGÜÍSTICA APLICADA,0185-2647
ESTUDIOS FILOLÓGICOS ALEMANES,1578-9438
ESTUDIOS IRLANDESES,1699-311X
ESTUDIOS MIGRATORIOS LATINOAMERICANOS,0326-7458
ESTUDIOS NIETZSCHE,1578-6676
ESTUDIS HISTORICS I DOCUMENTS DELS ARXIUS DE PROTOCOLS,0211-5425
ESTUDIS ROMÀNICS,0211-8572
ESTUDIS ROMÀNICS,2013-9500
ESTUDOS,0102-5465
ESTUDOS ANTERIANOS,0874-1913
ESTUDOS DE LITERATURA BRASILEIRA CONTEMPORÂNEA,1518-0158
ESTUDOS DO SÉCULO XX,1645-3530
ESTUDOS IBERO-AMERICANOS,0101-4064
ESTUDOS IBERO-AMERICANOS,1980-864X
ESTUDOS ITALIANOS EM PORTUGAL,0870-8584
ESTUDOS REGIONAIS,0871-3332
ETANT DONNÉ,1296-2309
ETHICAL THEORY AND MORAL PRACTICE,1386-2820
ETHICAL THEORY AND MORAL PRACTICE,1572-8447
ETHNOGRAPHIE,0336-1438
ETHNOLOGY,0014-1828
ETHNOMUSICOLOGY FORUM,1741-1912
ETHNOMUSICOLOGY FORUM,1741-1920
ETHNORÊMA,1826-8803
ETHNOZOOTECHNIE.,0397-6572
ETICA & POLITICA,1825-5167
ETIÓPICAS,1698-689X
ETNOGRÁFICA,0873-6561
ETNOSISTEMI,1122-6234
ETNOSTORIA,.
ETOPOI,2192-2608
ETRUSCAN STUDIES,1080-1960
ETUDES ANGLAISES,0014-195X
ETUDES CANADIENNES,0153-1700
"ÉTUDES CÉLINIENNES",1779-3432
ETUDES CHINOISES,0755-5857
ETUDES CORSES,0338-361X
ETUDES DE LETTRES,0014-2026
"ÉTUDES DE LINGUISTIQUE APPLIQUÉE",0071-190X
"ÉTUDES ET DOCUMENTS BERBÈRES",0295-5245
ETUDES ET TRAVAUX,0079-3566
"ÉTUDES FRANÇAISES",0014-2085
"ÉTUDES FRANÇAISES (MONTRÉAL. EN LIGNE)",1492-1405
ETUDES FRANCOPHONES,1093-9334
ETUDES GERMANIQUES,0014-2115
ETUDES HELLÉNIQUES,0824-8621
"ÉTUDES INTERCULTURELLES",1962-3364
ETUDES IRLANDAISES,0183-973X
ETUDES JEAN-RICHARD BLOCH,1767-4026
ETUDES LAWRENCIENNES,0994-5490
ETUDES LITTÉRAIRES AFRICAINES,1288-7145
ETUDES MÉDIÉVALES,1760-253X
ETUDES ORIENTALES,0988-873X
ETUDES PHOTOGRAPHIQUES,1270-9050
"ÉTUDES PLATONICIENNES",1770-9687
"ÉTUDES ROMANES DE BRNO",1803-7399
"ÉTUDES THÉÂTRALES",0778-8738
ETUDES TURQUES ET OTTOMANES,1250-5072
EUDORA WELTY NEWSLETTER,0146-7220
EUDORA WELTY REVIEW,1947-3370
EUGESTA,2265-8777
EUNTES DOCETE,0394-9850
EUPHORION,0014-2328
EUPHROSYNE,0870-0133
EURASIA ANTIQUA,0949-0434
EURASIAN PREHISTORY,1730-8518
EURASIAN STUDIES,1722-0750
EUROPA E MEZZOGIORNO,1593-9448
EUROPA ORIENTALIS,0392-4580
EURÓPAI UTAS,0866-272X
EUROPAISCHES JOURNAL FUR MINDERHEITENFRAGEN,1865-1089
EUROPE,0014-2751
EUROPEAN ACCOUNTING REVIEW,0963-8180
EUROPEAN COMIC ART,1754-3797
EUROPEAN ENGLISH MESSENGER,0960-4545
EUROPEAN HISTORY QUARTERLY,0265-6914
EUROPEAN JOURNAL OF AMERICAN STUDIES,1991-9336
EUROPEAN JOURNAL OF ARCHAEOLOGY,1461-9571
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,0934-9723
EUROPEAN JOURNAL OF ENGLISH STUDIES,1382-5577
EUROPEAN JOURNAL OF JEWISH STUDIES,2213-4972
EUROPEAN JOURNAL OF MINERALOGY,0935-1221
EUROPEAN JOURNAL OF NEUROLOGY,1351-5101
EUROPEAN JOURNAL OF NEUROLOGY,1468-1331
EUROPEAN JOURNAL OF SOCIAL THEORY,1368-4310
EUROPEAN JOURNAL OF SOIL SCIENCE,1351-0754
EUROPEAN JOURNAL OF WOMEN'S STUDIES,1350-5068
EUROPEAN JOYCE STUDIES,.
EUROPEAN MEDIEVAL DRAMA,1378-2274
EUROPEAN MEETINGS IN ETHNOMUSICOLOGY,1582-5841
EUROPEAN NEUROLOGICAL JOURNAL,2041-8000
EUROPEAN NEUROLOGICAL REVIEW,1758-3837
EUROPEAN NEUROLOGY,0014-3022
EUROPEAN REVIEW,1062-7987
EUROPEAN REVIEW OF HISTORY,1350-7486
EUROPEAN REVIEW OF HISTORY,1469-8293
EUROPEAN ROMANTIC REVIEW,1050-9585
EUROPEAN ROMANTIC REVIEW,1740-4657
EUROPEAN SPINE JOURNAL,0940-6719
EUROPEAN SPINE JOURNAL,1432-0932
EUROPEAN STUDIES IN SPORTS HISTORY,1999-8589
EUROPHYSICS LETTERS,0295-5075
EUROSLA YEARBOOK,1568-1491
EUTIFRONE,1972-6163
EX TEMPORE,0276-6795
EXCAVATIO,1021-5417
EXEMPLARIA,1041-2573
EXEMPLARIA,1753-3074
EXEMPLARIA CLASSICA,1699-3225
EXIL,0721-6742
EXPEDITION,0014-4738
EXPERT SYSTEMS WITH APPLICATIONS,0957-4174
EXPRESSIONS MAGHRÉBINES,1540-0085
EXTRAPOLATION,0014-5483
EXTRÊME ORIENT EXTRÊME OCCIDENT,0754-5010
FABRIKART,1578-5998
FABULA,0014-6242
FABULA,1613-0464
FACHSPRACHE,1017-3285
FACTA,1971-9051
FACTA UNIVERSITATIS. SERIES: LINGUISTICS AND LITERATURE,0354-4702
FAENZA,0014-679X
FAIRE PART,0182-1717
FAITS DE LANGUES,1244-5460
FAITS DE LANGUES. LES CAHIERS,2104-1881
FANTOM - PHOTOGRAPHIC QUARTERLY,2037-1438
FANTOM SLOBODE,1334-3327
FARHANG,1017-4117
FASEB JOURNAL,0892-6638
FASHION THEORY,1362-704X
FATA MORGANA,1970-5786
FAYYUM STUDIES,1827-3831
FÉERIES,1766-2842
FEIXIANG -VOLANDO,.
FELIX RAVENNA,0391-7517
FEMINISMO/S,1696-8166
FEMINIST EUROPA,1570-0038
FEMINIST REVIEW,0141-7789
FEMINIST THEORY,1464-7001
FEMS MICROBIOLOGY LETTERS,0378-1097
FENOMENOLOGIA E SOCIETÀ,0394-2759
FENSERN,2035-4878
FERMENTI,0046-3671
FIBER,1946-1534
FICTIONS,1721-3673
FIDELIS AMATRIX,1826-0225
FIERI,1824-6966
FIFTEENTH CENTURY STUDIES,0164-0933
FIGURATIONEN,1439-4367
FIGURATIONEN,2194-363X
