SETTORE CONCORSUALE,TITOLO,ISSN,NOTE
11/A3,BULLETTINO DELL'ISTITUTO STORICO ITALIANO PER IL MEDIO EVO,1127-6096,.
11/A3,BUSINESS HISTORY,0007-6791,.
11/A3,BUSINESS HISTORY REVIEW,0007-6805,.
11/A3,CAHIERS DE CIVILISATION MÉDIÉVALE,0007-9731,.
11/A3,CAHIERS DU MONDE RUSSE,1252-6576,.
11/A3,CENTRAL ASIAN SURVEY,0263-4937,.
11/A3,CENTRAL EUROPEAN HISTORY,0008-9389,.
11/A3,CENTRAL EUROPEAN HISTORY,1569-1616,.
11/A3,CHURCH HISTORY,0009-6407,.
11/A3,CLIOMETRICA,1863-2505,.
11/A3,CLIOMETRICA,1863-2513,.
11/A3,COLD WAR HISTORY,1468-2745,.
11/A3,COMPARATIVE STUDIES IN SOCIETY AND HISTORY,0010-4175,.
11/A3,COMPARATIVE STUDIES IN SOCIETY AND HISTORY,1475-2999,.
11/A3,CONTEMPORANEA,1127-3070,.
11/A3,CONTEMPORARY BRITISH HISTORY,1361-9462,.
11/A3,CONTEMPORARY BRITISH HISTORY,1743-7997,.
11/A3,CONTEMPORARY EUROPEAN HISTORY,0960-7773,.
11/A3,CONTEMPORARY SOUTHEAST ASIA,0129-797X,.
11/A3,CONTINUITY AND CHANGE,0268-4160,.
11/A3,"CRIME, HISTOIRE & SOCIÉTÉS",1422-0857,.
11/A3,CULTURAL AND SOCIAL HISTORY,1478-0038,.
11/A3,CULTURAL AND SOCIAL HISTORY,1478-0046,.
11/A3,DIPLOMACY AND STATECRAFT,0959-2296,.
11/A3,DIPLOMACY AND STATECRAFT,1557-301X,.
11/A3,DIPLOMATIC HISTORY,0145-2096,.
11/A3,EARLY MEDIEVAL EUROPE,0963-9462,.
11/A3,ECONOMIC HISTORY REVIEW,0013-0117,.
11/A3,ENTERPRISE & SOCIETY,1467-2227,.
11/A3,ENTERPRISE & SOCIETY,1467-2235,.
11/A3,ENVIRONMENT AND HISTORY,0967-3407,.
11/A3,ENVIRONMENTAL HISTORY,1084-5453,.
11/A3,EURASIAN STUDIES,1722-0750,.
11/A3,EUROPEAN HISTORY QUARTERLY,0265-6914,.
11/A3,EUROPEAN REVIEW OF ECONOMIC HISTORY,1361-4916,.
11/A3,EUROPEAN REVIEW OF HISTORY,1350-7486,.
11/A3,EUROPEAN REVIEW OF HISTORY,1469-8293,.
11/A3,EXPLORATIONS IN ECONOMIC HISTORY,0014-4983,.
11/A3,FINANCIAL HISTORY REVIEW,0968-5650,.
11/A3,FINANCIAL HISTORY REVIEW,1474-0052,.
11/A3,FRONTIERS OF HISTORY IN CHINA,1673-3401,.
11/A3,FRONTIERS OF HISTORY IN CHINA,1673-3525,.
11/A3,FRÜHMITTELALTERLICHE STUDIEN,0071-9706,.
11/A3,GENDER & HISTORY,0953-5233,.
11/A3,GENDER & HISTORY,1468-0424,.
11/A3,GENDER & SOCIETY,0891-2432,.
11/A3,GENDER & SOCIETY,1552-3977,.
11/A3,"GENDER, PLACE AND CULTURE",1360-0524,.
11/A3,"GENDER, PLACE, AND CULTURE",0966-369X,.
11/A3,GENÈSES,1155-3219,.
11/A3,GENÈSES,1776-2944,.
11/A3,GENESIS,1167-5101,.
11/A3,GENESIS,1594-9281,.
11/A3,GESCHICHTE UND GESELLSCHAFT,0340-613X,.
11/A3,GUERRES MONDIALES ET CONFLITS CONTEMPORAINS,0984-2292,.
11/A3,GUERRES MONDIALES ET CONFLITS CONTEMPORAINS,2101-0137,.
11/A3,HISPANIA,0018-2141,.
11/A3,HISTOIRE SOCIALE,0018-2257,.
11/A3,"HISTOIRE, ÉCONOMIE ET SOCIÉTÉ",0752-5702,.
11/A3,HISTORIA AGRARIA,1139-1472,.
11/A3,HISTORIA Y POLITICA,1575-0361,.
11/A3,HISTORIA Y POLÍTICA,1989-063X,.
11/A3,HISTORICAL METHODS,0161-5440,.
11/A3,HISTORICAL METHODS,1940-1906,.
11/A3,HISTORICAL SOCIAL RESEARCH/HISTORISCHE SOZIALFORSCHUNG,0172-6404,.
11/A3,HISTORISCHE ZEITSCHRIFT,0018-2613,.
11/A3,HISTORY AND ANTHROPOLOGY,0275-7206,.
11/A3,HISTORY AND ANTHROPOLOGY,1477-2612,.
11/A3,HISTORY AND THEORY,0018-2656,.
11/A3,HISTORY OF EUROPEAN IDEAS,0191-6599,.
11/A3,HISTORY OF EUROPEAN IDEAS,1873-541X,.
11/A3,HISTORY OF POLITICAL ECONOMY,0018-2702,.
11/A3,HISTORY OF POLITICAL ECONOMY,1527-1919,.
11/A3,HISTORY OF POLITICAL THOUGHT,0143-781X,.
11/A3,HISTORY OF RELIGIONS,0018-2710,.
11/A3,HISTORY OF RELIGIONS,1545-6935,.
11/A3,HISTORY WORKSHOP JOURNAL,1363-3554,.
11/A3,HISTORY WORKSHOP JOURNAL,1477-4569,.
11/A3,IL PENSIERO POLITICO,0031-4846,.
11/A3,INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,0973-0893,.
11/A3,INDIAN HISTORICAL REVIEW,0975-5977,.
11/A3,INTELLECTUAL HISTORY REVIEW,1749-6977,.
11/A3,INTELLECTUAL HISTORY REVIEW,1749-6985,.
11/A3,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1352-7258,.
11/A3,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1470-3610,.
11/A3,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,0020-7438,.
11/A3,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,1471-6380,.
11/A3,INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,0147-5479,.
11/A3,INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,1471-6445,.
11/A3,INTERNATIONAL REVIEW OF SOCIAL HISTORY,0020-8590,.
11/A3,INTERNATIONAL REVIEW OF SOCIAL HISTORY,1469-512X,.
11/A3,INTERVENTIONS,1369-801X,.
11/A3,INTERVENTIONS,1469-929X,.
11/A3,ITALIA CONTEMPORANEA,0392-1077,.
11/A3,JOURNAL OF AFRICAN HISTORY,0021-8537,.
11/A3,JOURNAL OF AFRICAN HISTORY,1469-5138,.
11/A3,JOURNAL OF AMERICAN HISTORY,0021-8723,.
11/A3,JOURNAL OF BALTIC STUDIES,0162-9778,.
11/A3,JOURNAL OF COLD WAR STUDIES,1520-3972,.
11/A3,JOURNAL OF CONTEMPORARY HISTORY,0022-0094,.
11/A3,JOURNAL OF CONTEMPORARY HISTORY,1461-7250,.
11/A3,JOURNAL OF EUROPEAN INTEGRATION HISTORY,0947-9511,.
11/A3,JOURNAL OF FAMILY HISTORY,0363-1990,.
11/A3,JOURNAL OF FAMILY HISTORY,1552-5473,.
11/A3,JOURNAL OF GLOBAL HISTORY,1740-0228,.
11/A3,JOURNAL OF GLOBAL HISTORY,1740-0236,.
11/A3,JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488,.
11/A3,JOURNAL OF INTERDISCIPLINARY HISTORY,0022-1953,.
11/A3,JOURNAL OF MODERN EUROPEAN HISTORY,1611-8944,.
11/A3,JOURNAL OF MODERN HISTORY,0022-2801,.
11/A3,JOURNAL OF MODERN ITALIAN STUDIES,1354-571X,.
11/A3,JOURNAL OF MODERN JEWISH STUDIES,1472-5886,.
11/A3,JOURNAL OF SOCIAL HISTORY,0022-4529,.
11/A3,JOURNAL OF SOCIAL HISTORY,1527-1897,.
11/A3,JOURNAL OF THE HISTORY OF COLLECTIONS,0954-6650,.
11/A3,JOURNAL OF THE HISTORY OF COLLECTIONS,1477-8564,.
11/A3,JOURNAL OF THE HISTORY OF IDEAS,0022-5037,.
11/A3,JOURNAL OF THE HISTORY OF IDEAS,1086-3222,.
11/A3,JOURNAL OF THE HISTORY OF INTERNATIONAL LAW,1388-199X,.
11/A3,JOURNAL OF THE HISTORY OF INTERNATIONAL LAW,1571-8050,.
11/A3,JOURNAL OF TRANSATLANTIC STUDIES,1479-4012,.
11/A3,JOURNAL OF TRANSATLANTIC STUDIES,1754-1018,.
11/A3,JOURNAL OF URBAN HISTORY,0096-1442,.
11/A3,JOURNAL OF URBAN HISTORY,1552-6771,.
11/A3,JOURNAL OF WOMEN'S HISTORY,1042-7961,.
11/A3,JOURNAL OF WOMEN'S HISTORY,1527-2036,.
11/A3,KRITIKA,1531-023X,.
11/A3,LABOR HISTORY,0023-656X,.
11/A3,LE CARTE E LA STORIA,1123-5624,.
11/A3,LE MOUVEMENT SOCIAL,1961-8646,.
11/A3,LE MOYEN-ÂGE,0027-2841,.
11/A3,MATERIAUX POUR L'HISTOIRE DE NOTRE TEMPS,0769-3206,.
11/A3,MATÉRIAUX POUR L'HISTOIRE DE NOTRE TEMPS,1952-4226,.
11/A3,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ANTIQUITÉ,0223-5102,.
11/A3,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ITALIE ET MÉDITERRANÉE,1123-9891,.
11/A3,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ITALIE ET MÉDITERRANÉE,1724-2142,.
11/A3,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. MOYEN AGE,1123-9883,.
11/A3,MEMORIA E RICERCA,1127-0195,.
11/A3,MEMORY STUDIES,1750-6980,.
11/A3,MEMORY STUDIES,1750-6999,.
11/A3,MERIDIANA,0394-4115,.
11/A3,MERIDIANA,1973-2244,.
11/A3,MIDDLE EASTERN STUDIES,0026-3206,.
11/A3,MIDDLE EASTERN STUDIES,1743-7881,.
11/A3,MODERN ASIAN STUDIES,0026-749X,.
11/A3,MODERN ASIAN STUDIES,1469-8099,.
11/A3,MODERN CHINA,0097-7004,.
11/A3,MODERN CHINA,1552-6836,.
11/A3,MONDO CONTEMPORANEO,1825-8905,.
11/A3,MOUVEMENT SOCIAL,0027-2671,.
11/A3,NATIONALITIES PAPERS,0090-5992,.
11/A3,NUMEN,0029-5973,.
11/A3,NUOVA RIVISTA STORICA,0029-6236,.
11/A3,ÖZG. ÖSTERREICHISCHE ZEITSCHRIFT FÜR GESCHICHTSWISSENSCHAFTEN,1016-765X,.
11/A3,PASSATO E PRESENTE,1120-0650,.
11/A3,PAST & PRESENT,0031-2746,.
11/A3,PAST & PRESENT,1477-464X,.
11/A3,POPULATION STUDIES,0032-4728,.
11/A3,POPULATION STUDIES,1477-4747,.
11/A3,PRISPEVKI ZA NOVEJŠO ZGODOVINO,0353-0329,.
11/A3,QUADERNI STORICI,0301-6307,.
11/A3,QUELLEN UND FORSCHUNGEN AUS ITALIENISCHEN ARCHIVEN UND BIBLIOTHEKEN,0079-9068,.
11/A3,RADICAL HISTORY REVIEW,0163-6545,.
11/A3,RELIGION,0048-721X,.
11/A3,RELIGION,1096-1151,.
11/A3,RENAISSANCE STUDIES,0269-1213,.
11/A3,RENAISSANCE STUDIES,1477-4658,.
11/A3,RETHINKING HISTORY,1364-2529,.
11/A3,RETHINKING HISTORY,1470-1154,.
11/A3,REVISTA DE HISTORIA ECONÓMICA,0212-6109,.
11/A3,REVISTA DE HISTORIA ECONOMICA - JOURNAL OF IBERIAN AND LATIN AMERICAN ECONOMIC HISTORY,2041-3335,.
11/A3,REVUE DE L'HISTOIRE DES RELIGIONS,0035-1423,.
11/A3,REVUE DES ETUDES SLAVES,0080-2557,.
11/A3,REVUE D'HISTOIRE ECCLÉSIASTIQUE,0035-2381,.
11/A3,REVUE D'HISTOIRE MODERNE ET CONTEMPORAINE,0048-8003,.
11/A3,REVUE HISTORIQUE,0035-3264,.
11/A3,RICERCHE DI STORIA POLITICA,1120-9526,.
11/A3,RICERCHE SLAVISTICHE,0391-4127,.
11/A3,RICERCHE STORICHE,0392-162X,.
11/A3,RICERCHE STORICHE,1974-4072,.
11/A3,RINASCIMENTO,0080-3073,.
11/A3,RIVISTA DI STORIA DEL CRISTIANESIMO,1827-7365,.
11/A3,RIVISTA DI STORIA DELLA CHIESA IN ITALIA,0035-6557,.
11/A3,RIVISTA DI STORIA E LETTERATURA RELIGIOSA,0035-6573,.
11/A3,RIVISTA STORICA ITALIANA,0035-7073,.
11/A3,RM RIVISTA,1593-2214,.
11/A3,RŐMISCHE QUARTALSCHRIFT FŰR CHRISTLICHE ALTERTUMSKUNDE UND KIRCHENGESCHICHTE,0035-7812,.
11/A3,ROSSIISKAIA ISTORIIA (OTEčESTVENNAÂ ISTORIÂ),0869-5687,.
11/A3,SCHWEIZERISCHE ZEITSCHRIFT FÜR GESCHICHTE,0036-7834,.
11/A3,SLAVIC REVIEW,0037-6779,.
11/A3,SLAVONIC AND EAST EUROPEAN REVIEW,0037-6795,.
11/A3,SOCIAL HISTORY,0307-1022,.
11/A3,SOCIAL HISTORY OF MEDICINE,0951-631X,.
11/A3,SOCIAL HISTORY OF MEDICINE,1477-4666,.
11/A3,SOCIETÀ E STORIA,0391-6987,.
11/A3,SPAGNA CONTEMPORANEA,1121-7480,.
11/A3,STORIA DELLA STORIOGRAFIA,0392-8926,.
11/A3,STORIA URBANA,0391-2248,.
11/A3,STORIA URBANA,1972-5523,.
11/A3,STORICA,1125-0194,.
11/A3,STORICA,1973-2236,.
11/A3,STUDI E MATERIALI DI STORIA DELLE RELIGIONI,0393-8417,.
11/A3,STUDI MEDIEVALI,0391-8467,.
11/A3,STUDI STORICI,0039-3037,.
11/A3,SZÁZADOK,0039-8098,.
11/A3,TEXTILE HISTORY,0040-4969,.
11/A3,TEXTILE HISTORY,1743-2952,.
11/A3,THE AMERICAN HISTORICAL REVIEW,0002-8762,.
11/A3,THE BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,1474-001X,.
11/A3,THE ECONOMIC HISTORY REVIEW,1468-0289,.
11/A3,THE ENGLISH HISTORICAL REVIEW,0013-8266,.
11/A3,THE ENGLISH HISTORICAL REVIEW,1477-4534,.
11/A3,THE HISPANIC AMERICAN HISTORICAL REVIEW,0018-2168,.
11/A3,THE HISPANIC AMERICAN HISTORICAL REVIEW,1527-1900,.
11/A3,THE HISTORICAL JOURNAL,0018-246X,.
11/A3,THE HISTORICAL JOURNAL,1469-5103,.
11/A3,THE HISTORY OF THE FAMILY,1081-602X,.
11/A3,THE HISTORY OF THE FAMILY,1873-5398,.
11/A3,THE INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,0019-4646,.
11/A3,THE INDIAN HISTORICAL REVIEW,0376-9836,.
11/A3,THE INTERNATIONAL HISTORY REVIEW,0707-5332,.
11/A3,THE JOURNAL OF ECCLESIASTICAL HISTORY,0022-0469,.
11/A3,THE JOURNAL OF ECONOMIC HISTORY,0022-0507,.
11/A3,THE JOURNAL OF ECONOMIC HISTORY,1471-6372,.
11/A3,THE JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY,0308-6534,.
11/A3,THE JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY,1743-9329,.
11/A3,THE JOURNAL OF INTERDISCIPLINARY HISTORY,1530-9169,.
11/A3,THE JOURNAL OF LEGAL HISTORY,0144-0365,.
11/A3,THE JOURNAL OF LEGAL HISTORY,1744-0564,.
11/A3,THE JOURNAL OF MILITARY HISTORY,0899-3718,.
11/A3,THE JOURNAL OF MILITARY HISTORY,1543-7795,.
11/A3,THE JOURNAL OF MODERN HISTORY,1537-5358,.
11/A3,THE RUSSIAN REVIEW,0036-0341,.
11/A3,THEORY AND SOCIETY,0304-2421,.
11/A3,THEORY AND SOCIETY,1573-7853,.
11/A3,TRANSACTIONS OF THE ROYAL HISTORICAL SOCIETY,0080-4401,.
11/A3,TRANSACTIONS OF THE ROYAL HISTORICAL SOCIETY,1474-0648,.
11/A3,TRANSITION STUDIES REVIEW,1614-4007,.
11/A3,TWENTIETH CENTURY BRITISH HISTORY,1477-4674,.
11/A3,UKRAÏNSʹKIJ ÌSTORIČNIJ ŽURNAL,0130-5247,.
11/A3,URBAN HISTORY,0963-9268,.
11/A3,VENTUNESIMO SECOLO,1594-3755,.
11/A3,VIERTELJAHRSHEFTE FÜR ZEITGESCHICHTE,0042-5702,.
11/A3,VINGTIÈME SIÈCLE,1950-6678,.
11/A3,"VINGTIÈME SIÈCLE, REVUE D'HISTOIRE",0294-1759,.
11/A3,WAR IN HISTORY,0968-3445,.
11/A3,WAR IN HISTORY,1477-0385,.
11/A3,ZEITGESCHICHTE,0256-5250,.
11/A3,ZEITSCHRIFT FÜR ANTIKES CHRISTENTUM,0949-9571,.
11/A3,ZEITSCHRIFT FÜR GESCHICHTSWISSENSCHAFT,0044-2828,.
11/A4,ADAMANTIUS,1126-6244,.
11/A4,AEVUM,0001-9593,.
11/A4,AEVUM,1827-787X,.
11/A4,AIB STUDI,2239-6152,.
11/A4,AIB STUDI,2280-9112,.
11/A4,ANNALES,0395-2649,.
11/A4,ANNALES,1953-8146,.
11/A4,ANNALI DI SCIENZE RELIGIOSE,2031-5929,.
11/A4,ANNALI DI SCIENZE RELIGIOSE,2294-8775,.
11/A4,ANNALI DI STORIA DELL'ESEGESI,1120-4001,.
11/A4,ANTIGUO ORIENTE,1667-9202,.
11/A4,ARCHIV FÜR DIPLOMATIK,0066-6297,.
11/A4,ARCHIVAL SCIENCE,1389-0166,.
11/A4,ARCHIVAL SCIENCE,1573-7500,.
11/A4,ARCHIVI,1970-4070,.
11/A4,ARCHIVI & COMPUTER,1121-2462,.
11/A4,AUGUSTINIANUM,0004-8011,.
11/A4,BIBLIOTHECAE.IT,2280-7934,.
11/A4,BIBLIOTHECAE.IT,2283-9364,.
11/A4,BIBLIOTHEQUE DE L'ECOLE DES CHARTES,0373-6237,.
11/A4,BOLLETTINO AIB,1121-1490,.
11/A4,BULLETIN DU BIBLIOPHILE,0399-9742,.
11/A4,BULLETIN OF THE AMERICAN SCHOOLS OF ORIENTAL RESEARCH,0003-097X,.
11/A4,BULLETTINO DELL'ISTITUTO STORICO ITALIANO PER IL MEDIO EVO,1127-6096,.
11/A4,BYZANTINISCHE ZEITSCHRIFT,0007-7704,.
11/A4,CATALOGING & CLASSIFICATION QUARTERLY,0163-9374,.
11/A4,CATHOLIC HISTORICAL REVIEW,0008-8080,.
11/A4,CHURCH HISTORY,0009-6407,.
11/A4,CODICES MANUSCRIPTI,0379-3621,.
11/A4,COMMA,1680-1865,.
11/A4,COMPARATIVE STUDIES IN SOCIETY AND HISTORY,0010-4175,.
11/A4,COMPARATIVE STUDIES IN SOCIETY AND HISTORY,1475-2999,.
11/A4,CRISTIANESIMO NELLA STORIA,0393-3598,.
11/A4,DEUTSCHES ARCHIV FÜR ERFORSCHUNG DES MITTELALTERS,0012-1223,.
11/A4,ECCLESIA ORANS,1010-3872,.
11/A4,FRONTIERS OF HISTORY IN CHINA,1673-3401,.
11/A4,FRONTIERS OF HISTORY IN CHINA,1673-3525,.
11/A4,GENÈSES,1155-3219,.
11/A4,GENÈSES,1776-2944,.
11/A4,GNOMON,0017-1417,.
11/A4,"GREEK, ROMAN AND BYZANTINE STUDIES",0017-3916,.
11/A4,GUTENBERG-JAHRBUCH,0072-9094,.
11/A4,HARVARD THEOLOGICAL REVIEW,1475-4517,.
11/A4,HENOCH,0393-6805,.
11/A4,HISTOIRE ET CIVILISATION DU LIVRE,1661-4577,.
11/A4,HISTORIA RELIGIONUM,2035-5572,.
11/A4,HISTORICAL METHODS,0161-5440,.
11/A4,HISTORICAL METHODS,1940-1906,.
11/A4,HISTORY AND ANTHROPOLOGY,0275-7206,.
11/A4,HISTORY AND ANTHROPOLOGY,1477-2612,.
11/A4,HISTORY AND THEORY,0018-2656,.
11/A4,HISTORY WORKSHOP JOURNAL,1363-3554,.
11/A4,HISTORY WORKSHOP JOURNAL,1477-4569,.
11/A4,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1352-7258,.
11/A4,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1470-3610,.
11/A4,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,0020-7438,.
11/A4,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,1471-6380,.
11/A4,JAHRBUCH DER ÖSTERREICHISCHEN BYZANTINISTIK,0378-8660,.
11/A4,JAHRBUCH FUER ANTIKE UND CHRISTENTUM,0075-2541,.
11/A4,JLIS.IT,2038-1026,.
11/A4,JLIS.IT,2038-5366,.
11/A4,JOURNAL OF CONTEMPORARY HISTORY,0022-0094,.
11/A4,JOURNAL OF CONTEMPORARY HISTORY,1461-7250,.
11/A4,JOURNAL OF DOCUMENTATION,0022-0418,.
11/A4,JOURNAL OF EARLY CHRISTIAN STUDIES,1067-6341,.
11/A4,JOURNAL OF EARLY CHRISTIAN STUDIES,1086-3184,.
11/A4,JOURNAL OF EARLY MODERN STUDIES,2279-7149,.
11/A4,JOURNAL OF GLOBAL HISTORY,1740-0228,.
11/A4,JOURNAL OF GLOBAL HISTORY,1740-0236,.
11/A4,JOURNAL OF HELLENIC STUDIES,0075-4269,.
11/A4,JOURNAL OF HELLENIC STUDIES,2041-4099,.
11/A4,JOURNAL OF INFORMATION SCIENCE,0165-5515,.
11/A4,JOURNAL OF INTERDISCIPLINARY HISTORY,0022-1953,.
11/A4,JOURNAL OF MODERN HISTORY,0022-2801,.
11/A4,JOURNAL OF SOCIAL HISTORY,0022-4529,.
11/A4,JOURNAL OF SOCIAL HISTORY,1527-1897,.
11/A4,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,1532-2882,.
11/A4,KNOWLEDGE ORGANIZATION,0943-7444,.
11/A4,LA BIBLIOFILIA,0006-0941,.
11/A4,LATOMUS,0023-8856,.
11/A4,LATOMUS,2294-4427,.
11/A4,LE MUSEON,0771-6494,.
11/A4,LE MUSÉON,1783-158X,.
11/A4,LIBRARY QUARTERLY,0024-2519,.
11/A4,MANUSCRIPTA,0025-2603,.
11/A4,MEDIAEVAL STUDIES,0076-5872,.
11/A4,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. MOYEN AGE,1123-9883,.
11/A4,MIDDLE EASTERN STUDIES,0026-3206,.
11/A4,MODERN ASIAN STUDIES,0026-749X,.
11/A4,MODERN ASIAN STUDIES,1469-8099,.
11/A4,MODERN CHINA,0097-7004,.
11/A4,NEA ROMI. RIVISTA DI RICERCHE BIZANTINISTICHE,1970-2345,.
11/A4,NEW TESTAMENT STUDIES,0028-6885,.
11/A4,NEW TESTAMENT STUDIES,1469-8145,.
11/A4,NOVUM TESTAMENTUM,0048-1009,.
11/A4,NOVUM TESTAMENTUM,1568-5365,.
11/A4,NUMEN,0029-5973,.
11/A4,NUOVI ANNALI DELLA SCUOLA SPECIALE PER ARCHIVISTI E BIBLIOTECARI,1122-0775,.
11/A4,ÖZG. ÖSTERREICHISCHE ZEITSCHRIFT FÜR GESCHICHTSWISSENSCHAFTEN,1016-765X,.
11/A4,PARATESTO,1824-6249,.
11/A4,PAST & PRESENT,0031-2746,.
11/A4,PAST & PRESENT,1477-464X,.
11/A4,QUELLEN UND FORSCHUNGEN AUS ITALIENISCHEN ARCHIVEN UND BIBLIOTHEKEN,0079-9068,.
11/A4,RELIGION,0048-721X,.
11/A4,RELIGION,1096-1151,.
11/A4,RENAISSANCE STUDIES,0269-1213,.
11/A4,RENAISSANCE STUDIES,1477-4658,.
11/A4,REVUE DE L'HISTOIRE DES RELIGIONS,0035-1423,.
11/A4,REVUE DES ÉTUDES JUIVES,0484-8616,.
11/A4,REVUE DES SCIENCES RELIGIEUSES,0035-2217,.
11/A4,REVUE D'HISTOIRE ECCLÉSIASTIQUE,0035-2381,.
11/A4,RIVISTA DI STORIA DEL CRISTIANESIMO,1827-7365,.
11/A4,RIVISTA DI STORIA DELLA CHIESA IN ITALIA,0035-6557,.
11/A4,RIVISTA DI STORIA E LETTERATURA RELIGIOSA,0035-6573,.
11/A4,RIVISTA DI STUDI BIZANTINI E NEOELLENICI,0557-1367,.
11/A4,RM RIVISTA,1593-2214,.
11/A4,ROMISCHE HISTORISCHE MITTEILUNGEN,0080-3790,.
11/A4,SCHWEIZERISCHE ZEITSCHRIFT FÜR GESCHICHTE,0036-7834,.
11/A4,SCIENTOMETRICS,0138-9130,.
11/A4,SCRINEUM,1128-5656,.
11/A4,SCRIPTA,1971-9027,.
11/A4,SCRIPTORIUM,0036-9772,.
11/A4,SCRITTURA E CIVILTÀ,0392-1697,.
11/A4,SEGNO E TESTO,2037-0245,.
11/A4,SPECULUM,0038-7134,.
11/A4,SPECULUM,2040-8072,.
11/A4,STUDI E MATERIALI DI STORIA DELLE RELIGIONI,0393-8417,.
11/A4,STUDI MEDIEVALI,0391-8467,.
11/A4,TECHNOLOGY AND CULTURE,0040-165X,.
11/A4,TECHNOLOGY AND CULTURE,1097-3729,.
11/A4,THE AMERICAN HISTORICAL REVIEW,0002-8762,.
11/A4,THE ENGLISH HISTORICAL REVIEW,0013-8266,.
11/A4,THE ENGLISH HISTORICAL REVIEW,1477-4534,.
11/A4,THE HARVARD THEOLOGICAL REVIEW,0017-8160,.
11/A4,THE HISTORICAL JOURNAL,0018-246X,.
11/A4,THE HISTORICAL JOURNAL,1469-5103,.
11/A4,THE JOURNAL OF ECCLESIASTICAL HISTORY,0022-0469,.
11/A4,THE JOURNAL OF INTERDISCIPLINARY HISTORY,1530-9169,.
11/A4,THE JOURNAL OF MODERN HISTORY,1537-5358,.
11/A4,THE LIBRARY,0024-2160,.
11/A4,THE LIBRARY QUARTERLY,1549-652X,.
11/A4,TRANSACTIONS OF THE ROYAL HISTORICAL SOCIETY,0080-4401,.
11/A4,TRANSACTIONS OF THE ROYAL HISTORICAL SOCIETY,1474-0648,.
11/A4,VETERA CHRISTIANORUM,1121-9696,.
11/A4,VIGILIAE CHRISTIANAE,0042-6032,.
11/A4,ZEITSCHRIFT FÜR ANTIKES CHRISTENTUM,0949-9571,.
11/A4,ZEITSCHRIFT FÜR KIRCHENGESCHICHTE,0044-2925,.
11/A5,AFRICA,0001-9720,.
11/A5,AFRICA,0001-9747,.
11/A5,AFRICA,1750-0184,.
11/A5,AFRICA TODAY,0001-9887,.
11/A5,AFRICAN AFFAIRS,0001-9909,.
11/A5,AFRICAN DIASPORA,1872-5457,.
11/A5,AFRIKASPECTRUM,0002-0397,.
11/A5,AM,1593-2737,.
11/A5,AMERICAN ANTHROPOLOGIST,0002-7294,.
11/A5,AMERICAN ETHNOLOGIST,0094-0496,.
11/A5,ANALES DE ANTROPOLOGIA,0185-1225,.
11/A5,"ANNALI DELLA FACOLTÀ DI LETTERE E FILOSOFIA. UNIVERSITÀ DEGLI STUDI DI PERUGIA. 2, STUDI STORICO- ANTROPOLOGICI",0393-6589,.
11/A5,ANNALI DI STUDI RELIGIOSI,1592-5927,.
11/A5,ANNALI DI STUDI RELIGIOSI,2284-3892,.
11/A5,ANNUAL REVIEW OF ANTHROPOLOGY,0084-6570,.
11/A5,ANNUAL REVIEW OF ANTHROPOLOGY,1545-4290,.
11/A5,ANTHROPOLOGICAL QUARTERLY,0003-5491,.
11/A5,ANTHROPOLOGICAL THEORY,1463-4996,.
11/A5,ANTHROPOLOGICAL THEORY,1741-2641,.
11/A5,ANTHROPOLOGIE & SANTÉ,2111-5028,.
11/A5,ANTHROPOLOGY & MEDICINE,1364-8470,.
11/A5,ANTHROPOLOGY TODAY,0268-540X,.
11/A5,ANTHROPOS,0257-9774,.
11/A5,ANTROPOLOGIA,2281-4043,.
11/A5,ANTROPOLOGIA MEDICA,0393-9081,.
11/A5,ANTROPOLOGIA MUSEALE,1971-4815,.
11/A5,ANUAC,2239-625X,.
11/A5,ARCHIVIO ANTROPOLOGICO MEDITERRANEO,.,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
11/A5,ARCHIVIO ANTROPOLOGICO MEDITERRANEO,2038-3215,.
