TITOLO,ISSN
JOURNAL OF ELASTICITY,0374-3535
JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,0920-5071
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,1050-6411
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,1873-5711
JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,0368-2048
JOURNAL OF EMERGING TRENDS IN EDUCATIONAL RESEARCH AND POLICY STUDIES,2141-6990
JOURNAL OF EMPIRICAL RESEARCH ON HUMAN RESEARCH ETHICS,1556-2646
JOURNAL OF ENGINEERING DESIGN,0954-4828
JOURNAL OF ENGINEERING SCIENCES,0377-9254
JOURNAL OF ENVIRONMENTAL EDUCATION,1940-1892
JOURNAL OF ENVIRONMENTAL MANAGEMENT,0301-4797
JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,0964-0568
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,0143-005X
JOURNAL OF ETHNIC AND MIGRATION STUDIES,1369-183X
JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,1746-4269
JOURNAL OF ETHNOPHARMACOLOGY,0378-8741
JOURNAL OF EUROPEAN INTEGRATION HISTORY,0947-9511
JOURNAL OF EUROPEAN PSYCHOANALYSIS,1125-8217
JOURNAL OF EVALUATION IN CLINICAL PRACTICE,1356-1294
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,0392-9078
JOURNAL OF EXPERIMENTAL BIOLOGY,0022-0949
JOURNAL OF EXPERIMENTAL BIOLOGY,1477-9145
JOURNAL OF EXPERIMENTAL EDUCATION,1940-0683
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,0096-1523
JOURNAL OF FAMILY HISTORY,0363-1990
JOURNAL OF FAMILY HISTORY,1552-5473
JOURNAL OF FEMINIST STUDIES IN RELIGION,8755-4178
JOURNAL OF FRENCH AND FRANCOPHONE PHILOSOPHY,2155-1162
JOURNAL OF FUTURES STUDIES,1027-6084
JOURNAL OF GAMBLING STUDIES,1050-5350
JOURNAL OF GENDER STUDIES,0958-9236
JOURNAL OF GENOCIDE RESEARCH,1462-3528
JOURNAL OF GEOCHEMICAL EXPLORATION,0375-6742
JOURNAL OF GEOGRAPHIC INFORMATION SYSTEM,2151-1950
JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,0309-8265
JOURNAL OF GEOMETRY AND PHYSICS,0393-0440
JOURNAL OF GIS TRENDS,2146-0892
JOURNAL OF GLOBAL HISTORY,1740-0228
JOURNAL OF GLOBAL HISTORY,1740-0236
JOURNAL OF GRID COMPUTING,1570-7873
JOURNAL OF GROUP THEORY,1433-5883
JOURNAL OF HEAD TRAUMA REHABILITATION,0885-9701
JOURNAL OF HELLENIC STUDIES,0075-4269
JOURNAL OF HELLENIC STUDIES,2041-4099
JOURNAL OF HERITAGE TOURISM,1743-873X
JOURNAL OF HERPETOLOGY,0022-1511
JOURNAL OF HIGHER EDUCATION,1538-4640
JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488
JOURNAL OF HUMAN DEVELOPMENT AND CAPABILITIES,1945-2829
JOURNAL OF HUMAN RIGHTS,1475-4835
JOURNAL OF HUMAN SPORT AND EXERCISE,1988-5202
JOURNAL OF HYPERTENSION,0263-6352
JOURNAL OF HYPERTENSION,1473-5598
JOURNAL OF INFECTION,0163-4453
JOURNAL OF INFORMATION ARCHITECTURE,1903-7260
JOURNAL OF INFORMATION ETHICS,1061-9321
JOURNAL OF INFORMATION SCIENCE,0165-5515
JOURNAL OF INFORMATION TECHNOLOGY EDUCATION:RESEARCH,1539-3585
JOURNAL OF INFORMATION TECHNOLOGY EDUCATION:RESEARCH,1547-9714
JOURNAL OF INFORMATION TECHNOLOGY IMPACT,1098-139X
"JOURNAL OF INFORMATION, COMMUNICATION & ETHICS IN SOCIETY",1477-996X
JOURNAL OF INKLINGS STUDIES,2045-8797
JOURNAL OF INORGANIC BIOCHEMISTRY,0162-0134
JOURNAL OF INSECT CONSERVATION,1366-638X
JOURNAL OF INTELLECTUAL DISABILITIES,1744-6295
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,0964-2633
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,1064-1246
JOURNAL OF INTERACTIVE LEARNING RESEARCH,1093-023X
JOURNAL OF INTERCULTURAL STUDIES,0725-6868
JOURNAL OF INTERDISCIPLINARY HISTORY,0022-1953
JOURNAL OF INTERDISCIPLINARY HISTORY OF IDEAS,2280-8574
JOURNAL OF INTERNATIONAL DEVELOPMENT,0954-1748
JOURNAL OF INTERNATIONAL MANAGEMENT,1075-4253
JOURNAL OF INTERNATIONAL SCIENTIFIC PUBLICATIONS: ECONOMY & BUSINESS,1313-2555
JOURNAL OF JEWISH THOUGHT & PHILOSOPHY,1053-699X
JOURNAL OF JURISTIC PAPYROLOGY,0075-4277
JOURNAL OF LATE ANTIQUITY,1939-6716
JOURNAL OF LATIN AMERICAN AND CARIBBEAN ANTHROPOLOGY,1935-4932
JOURNAL OF LATIN AMERICAN CULTURAL STUDIES,1356-9325
JOURNAL OF LEARNING DISABILITIES,0022-2194
JOURNAL OF LIBERTARIAN STUDIES,0363-2873
JOURNAL OF LIBERTY AND SOCIETY,.
JOURNAL OF LINGUISTICS,0022-2267
JOURNAL OF LITERACY RESEARCH,1086-296X
JOURNAL OF LITERACY RESEARCH,1554-8430
JOURNAL OF LITERARY & CULTURAL DISABILITY STUDIES,1757-6458
JOURNAL OF LITERARY & CULTURAL DISABILITY STUDIES,1757-6466
JOURNAL OF LITERATURE AND ART STUDIES,2159-5836
JOURNAL OF LOGIC AND ALGEBRAIC PROGRAMMING,1567-8326
JOURNAL OF LOGIC AND COMPUTATION,0955-792X
"JOURNAL OF LOGIC, LANGUAGE, AND INFORMATION",0925-8531
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,0304-8853
JOURNAL OF MAP & GEOGRAPHY LIBRARIES,1542-0353
JOURNAL OF MARINE AND ISLAND CULTURES,2212-6821
JOURNAL OF MATERIAL CULTURE,1359-1835
JOURNAL OF MATHEMATICAL LOGIC,0219-0613
JOURNAL OF MATHEMATICAL LOGIC,1793-6691
JOURNAL OF MATHEMATICAL PHYSICS,0022-2488
JOURNAL OF MATHEMATICAL PHYSICS,1089-7658
JOURNAL OF MATHEMATICAL SCIENCES,0449-2757
JOURNAL OF MATHEMATICAL SCIENCES,1072-3374
JOURNAL OF MECHATRONICS,.
JOURNAL OF MEDICAL BIOGRAPHY,0967-7720
JOURNAL OF MEDICAL ETHICS,0306-6800
JOURNAL OF MEDICINE AND PHILOSOPHY,0360-5310
JOURNAL OF MEDICINE AND THE PERSON,2035-9411
JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,1082-9636
JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,1527-8263
JOURNAL OF MEDIEVAL HISTORY,0304-4181
JOURNAL OF MEDIEVAL HISTORY,1873-1279
JOURNAL OF MEDITERRANEAN ECOLOGY,1388-7904
JOURNAL OF MEDITERRANEAN STUDIES,1016-3476
JOURNAL OF MIDDLE EASTERN GEOPOLITICS,1825-0483
JOURNAL OF MIND THEORY,2174-9841
JOURNAL OF MODERN EUROPEAN HISTORY,1611-8944
JOURNAL OF MODERN HISTORY,0022-2801
JOURNAL OF MODERN ITALIAN STUDIES,1354-571X
JOURNAL OF MODERN JEWISH STUDIES,1472-5886
JOURNAL OF MODERN OPTICS,0950-0340
JOURNAL OF MODERN PHYSICS,2153-1196
JOURNAL OF MODERN SCIENCE,1734-2031
JOURNAL OF MONEY LAUNDERING CONTROL,1368-5201
JOURNAL OF MORAL PHILOSOPHY,1740-4681
JOURNAL OF MORAL PHILOSOPHY,1745-5243
JOURNAL OF MULTIDISCIPLINARY HEALTHCARE,1178-2390
JOURNAL OF MULTIPLE VALUED LOGIC & SOFT COMPUTING,1542-3980
JOURNAL OF MUSEUM ETHNOGRAPHY,0954-7169
JOURNAL OF NANO RESEARCH,1662-5250
JOURNAL OF NANOPARTICLE RESEARCH,1388-0764
JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,1533-4880
JOURNAL OF NATURAL HISTORY,0022-2933
JOURNAL OF NEUROLINGUISTICS,0911-6044
JOURNAL OF NEUROLOGY,0340-5354
"JOURNAL OF NEUROLOGY, NEUROSURGERY AND PSYCHIATRY",0022-3050
JOURNAL OF NEUROPHYSIOLOGY,0022-3077
JOURNAL OF NEUROSCIENCE METHODS,0165-0270
JOURNAL OF NEUROSCIENCE METHODS,1872-678X
JOURNAL OF NEUROSCIENCE RESEARCH,0360-4012
JOURNAL OF NEUROSCIENCE RESEARCH,1097-4547
"JOURNAL OF NEUROSCIENCE, PSYCHOLOGY, AND ECONOMICS",1937-321X
JOURNAL OF NEUROTHERAPY,1087-4208
JOURNAL OF NEW MEDIA STUDIES,2162-6669
JOURNAL OF NIETZSCHE STUDIES,0968-8005
JOURNAL OF OPTICS,1464-4266
JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,0022-3239
JOURNAL OF ORAL REHABILITATION,0305-182X
JOURNAL OF ORGANOMETALLIC CHEMISTRY,0022-328X
JOURNAL OF OROFACIAL PAIN,1064-6655
JOURNAL OF OSSEOINTEGRATION,2036-413X
JOURNAL OF PEASANT STUDIES,0306-6150
JOURNAL OF PEDIATRIC NEUROLOGY,1304-2580
JOURNAL OF PERINATAL MEDICINE,0300-5577
JOURNAL OF PERINATAL MEDICINE,1619-3997
JOURNAL OF PHILOSOPHICAL LOGIC,0022-3611
JOURNAL OF PHILOSOPHICAL RESEARCH,1053-8364
JOURNAL OF PHILOSOPHY,0022-362X
JOURNAL OF PHILOSOPHY OF EDUCATION,0309-8249
JOURNAL OF PHILOSOPHY OF EDUCATION,1467-9752
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY. A, CHEMISTRY",1010-6030
JOURNAL OF PHYSICAL ACTIVITY & HEALTH,1543-3080
JOURNAL OF PHYSICAL EDUCATION AND SPORT,2247-8051
JOURNAL OF PHYSICS A: MATHEMATICAL AND THEORETICAL,1751-8121
JOURNAL OF PHYSICS D. APPLIED PHYSICS,0022-3727
"JOURNAL OF PHYSICS. A, MATHEMATICAL AND GENERAL",0305-4470
"JOURNAL OF PHYSICS. A, MATHEMATICAL AND THEORETICAL",1751-8113
JOURNAL OF PHYSICS. CONFERENCE SERIES,1742-6588
JOURNAL OF PHYSICS. CONFERENCE SERIES,1742-6596
"JOURNAL OF PHYSICS. G, NUCLEAR AND PARTICLE PHYSICS",0954-3899
JOURNAL OF PLANNING EDUCATION AND RESEARCH,0739-456X
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,1436-8730
JOURNAL OF POLICY AND PRACTICE IN INTELLECTUAL DISABILITIES,1741-1122
JOURNAL OF POLITICAL IDEOLOGIES,1356-9317
JOURNAL OF POLITICAL PHILOSOPHY,0963-8016
JOURNAL OF POLITICAL PHILOSOPHY,1467-9760
JOURNAL OF PRAGMATICS,0378-2166
JOURNAL OF PRAGMATICS,1879-1387
JOURNAL OF PROPERTY INVESTMENT AND FINANCE,1463-578X
JOURNAL OF PSYCHOPHARMACOLOGY,0269-8811
JOURNAL OF PSYCHOSOMATIC RESEARCH,0022-3999
JOURNAL OF PUBLIC HEALTH RESEARCH,2279-9036
JOURNAL OF PURE AND APPLIED ALGEBRA,0022-4049
JOURNAL OF QUALITY ASSURANCE IN HOSPITALITY & TOURISM,1528-008X
JOURNAL OF REFUGEE STUDIES,0951-6328
JOURNAL OF REGIONAL SCIENCE,0022-4146
JOURNAL OF REHABILITATION,0022-4154
JOURNAL OF REHABILITATION MEDICINE,1650-1977
JOURNAL OF REHABILITATION MEDICINE,1651-2081
JOURNAL OF RESEARCH IN MUSIC EDUCATION,0022-4294
JOURNAL OF RESEARCH IN SCIENCE TEACHING,0022-4308
JOURNAL OF RESEARCH IN SCIENCE TEACHING,1098-2736
JOURNAL OF RESEARCH ON ADOLESCENCE,1050-8392
JOURNAL OF RESEARCH ON ADOLESCENCE,1532-7795
JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS,1934-5739
JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS,1934-5747
JOURNAL OF RESEARCH ON TECHNOLOGY IN EDUCATION,1539-1523
JOURNAL OF RESEARCH ON TECHNOLOGY IN EDUCATION,1945-0818
JOURNAL OF RITUAL STUDIES,0890-1112
JOURNAL OF ROMANCE STUDIES,1473-3536
JOURNAL OF RURAL STUDIES,0743-0167
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,1440-2440
JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY,1059-0145
JOURNAL OF SCIENCE TEACHER EDUCATION,1046-560X
JOURNAL OF SEISMOLOGY,1383-4649
JOURNAL OF SEMITIC STUDIES,0022-4480
JOURNAL OF SHOULDER AND ELBOW SURGERY,1058-2746
JOURNAL OF SOCIAL HISTORY,0022-4529
JOURNAL OF SOCIAL HISTORY,1527-1897
JOURNAL OF SOCIAL RESEARCH&POLICY,2067-2640
JOURNAL OF SOCIAL SCIENCES,1549-3652
JOURNAL OF SOCIOCYBERNETICS,1607-8667
JOURNAL OF SOCIO-ECONOMICS,1053-5357
JOURNAL OF SOUTHERN EUROPE AND THE BALKANS,1461-3190
JOURNAL OF SPATIAL INFORMATION SCIENCE,1948-660X
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,0895-2779
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,1543-2904
Journal of Sports Science,2332-7839
JOURNAL OF SPORTS SCIENCES,0264-0414
JOURNAL OF SPORTS TRAUMATOLOGY,2038-727X
JOURNAL OF STUDIES IN INTERNATIONAL EDUCATION,1028-3153
JOURNAL OF SUBSTANCE USE,1465-9891
JOURNAL OF SUSTAINABLE TOURISM,0966-9582
JOURNAL OF SUSTAINABLE TOURISM,1747-7646
JOURNAL OF TEACHER EDUCATION,0022-4871
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,0273-5024
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,1532-2882
JOURNAL OF THE BANGLADESH ASSOCIATION OF YOUNG RESEARCHERS,1991-0746
JOURNAL OF THE CHEMICAL SOCIETY. DALTON TRANSACTIONS,1472-7773
"JOURNAL OF THE FACULTY OF LETTERS, THE UNIVERSITY OF TOKYO. AESTHETICS",0386-2593
JOURNAL OF THE HISTORY OF BIOLOGY,0022-5010
JOURNAL OF THE HISTORY OF COLLECTIONS,0954-6650
JOURNAL OF THE HISTORY OF COLLECTIONS,1477-8564
JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,1053-8372
JOURNAL OF THE HISTORY OF IDEAS,0022-5037
JOURNAL OF THE HISTORY OF IDEAS,1086-3222
JOURNAL OF THE HISTORY OF INTERNATIONAL LAW,1388-199X
JOURNAL OF THE HISTORY OF INTERNATIONAL LAW,1571-8050
JOURNAL OF THE HISTORY OF PHILOSOPHY,0022-5053
JOURNAL OF THE HISTORY OF PHILOSOPHY,1538-4586
JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES,0022-5061
JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES,1520-6696
JOURNAL OF THE HISTORY OF THE NEUROSCIENCES,0964-704X
JOURNAL OF THE INTERNATIONAL SOCIETY OF SPORTS NUTRITION,1550-2783
JOURNAL OF THE KOREAN PHYSICAL SOCIETY,0374-4884
JOURNAL OF THE LONDON MATHEMATICAL SOCIETY,0024-6107
JOURNAL OF THE NATIONAL CANCER INSTITUTE,0027-8874
JOURNAL OF THE NEUROLOGICAL SCIENCES,0022-510X
"JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. A, OPTICS, IMAGE SCIENCE, AND VISION",1084-7529
JOURNAL OF THE PHILOSOPHY OF HISTORY,1872-261X
JOURNAL OF THE ROYAL NOVA SCOTIA HISTORICAL SOCIETY,1486-5920
JOURNAL OF THE ROYAL SOCIETY INTERFACE,1742-5662
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,0022-5142
JOURNAL OF THE SOCIETY FOR THE ANTHROPOLOGY OF EUROPE,1535-5632
JOURNAL OF THE SOCIETY OF ARCHIVISTS,0037-9816
JOURNAL OF THE WALTERS ART MUSEUM,1946-0988
JOURNAL OF THEOLOGICAL STUDIES,0022-5185
JOURNAL OF THEORETICAL AND PHILOSOPHICAL PSYCHOLOGY,1068-8471
JOURNAL OF THEORETICAL POLITICS,0951-6298
JOURNAL OF TOURISM AND CULTURAL CHANGE,1476-6825
JOURNAL OF TOURISM CONSUMPTION AND PRACTICE,1757-013X
JOURNAL OF TOURISM HISTORY,1755-182X
JOURNAL OF TRANSATLANTIC STUDIES,1479-4012
JOURNAL OF TRANSATLANTIC STUDIES,1754-1018
Journal of transformative education,1541-3446
Journal of transformative education,1552-7840
JOURNAL OF TRANSPORT AND LAND USE,1938-7849
JOURNAL OF TRANSPORT GEOGRAPHY,0966-6923
JOURNAL OF TRAUMATIC STRESS,0894-9867
JOURNAL OF TRAVEL & TOURISM MARKETING,1054-8408
JOURNAL OF TRAVEL RESEARCH,0047-2875
JOURNAL OF TRAVEL RESEARCH,1552-6763
JOURNAL OF ULTRASOUND,1971-3495
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,0948-695X
JOURNAL OF UNIVERSAL LANGUAGE,1598-6381
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,1099-3460
JOURNAL OF URBAN HISTORY,0096-1442
JOURNAL OF URBAN HISTORY,1552-6771
JOURNAL OF URBAN REGENERATION AND RENEWAL,1752-9638
JOURNAL OF VISUAL LITERACY,1051-144X
JOURNAL OF VOCATIONAL REHABILITATION,1052-2263
JOURNAL OF WAR AND CULTURE STUDIES,1752-6272
JOURNAL OF WEB ENGINEERING,1540-9589
JOURNAL OF WOMEN'S HISTORY,1042-7961
JOURNAL OF WOMEN'S HISTORY,1527-2036
JOURNAL OF WORKPLACE LEARNING,1366-5626
JOURNAL OF YOUTH AND ADOLESCENCE,0047-2891
JOURNAL OF YOUTH AND ADOLESCENCE,1573-6601
JOURNAL OF ZOOLOGY,0952-8369
"JOURNAL ON SATISFIABILITY, BOOLEAN MODELING AND COMPUTATION",1574-0617
JOURNAL OF SOCIAL PHILOSOPHY,0047-2786
JOURNAL OF SOCIAL PHILOSOPHY,1467-9833
JOURNAL OF VALUE INQUIRY,0022-5363
JOURNAL OF VALUE INQUIRY,1573-0492
JP JOURNAL OF GEOMETRY AND TOPOLOGY,0972-415X
J-READING-JOURNAL OF RESEARCH AND DIDACTICS IN GEOGRAPHY,2281-5694
JUDAICA,0022-572X
JURA GENTIUM,1826-8269
JURA SOYFER,1025-3858
JURISPRUDENCIA ARGENTINA,0326-1190
JUS,0022-6955
JUS,1827-7942
KADIN ARASTIRMALARI DERGISI,1302-9916
KAINOS,1827-3750
KAIROS,1148-9227
KAIROS,1647-659X
KAJO',.
KANT E-PRINTS,1677-163X
KANT STUDIES ONLINE,2045-3396
KANTIAN REVIEW,1369-4154
KANTIAN REVIEW,2044-2394
KANTOVSKIJ SBORNIK,0207-6918
KANT-STUDIEN,0022-8877
KARTVELOLOGI,1512-1186
KATEHEZA,0351-9007
KENNEDY INSTITUTE OF ETHICS JOURNAL,1054-6863
KENNEDY INSTITUTE OF ETHICS JOURNAL,1086-3249
KENNIS EN METHODE,0165-1773
KERMES,1122-3197
KERNOS,0776-3824
KERVAN,1825-263X
KIERKEGAARD STUDIES,1430-5372
KIERKEGAARD STUDIES,1612-9792
KIERKEGAARDIANA,0075-6032
Kinesiology,1331-1441
KLIO,0075-6334
KLIO,1643-8191
"KNEE SURGERY, SPORTS TRAUMATOLOGY, ARTHROSCOPY",0942-2056
"KNEE SURGERY, SPORTS TRAUMATOLOGY, ARTHROSCOPY",1433-7347
KNOWLEDGE ENGINEERING REVIEW,0269-8889
KNOWLEDGE ENGINEERING REVIEW,1469-8005
KNOWLEDGE MANAGEMENT & E-LEARNING: AN INTERNATIONAL JOURNAL,2073-7904
KNOWLEDGE ORGANIZATION,0943-7444
"KNOWLEDGE, TECHNOLOGY, & POLICY",1946-4789
KODIKAS,0171-0834
KOINONIA,0393-2230
KOKALOS,0392-0887
KORALL,1586-2410
KOS,0393-2095
KRISIS,0994-2440
KRITERION,0100-512X
KRITIKA,1531-023X
KRITISCHE JUSTIZ,0023-4834
KRONOS,1724-2541
KRYPTON,2282-3301
KTÈMA,0221-5896
KULTURA I HISTORIA,1642-9826
KUNST + ARCHITEKTUR IN DER SCHWEIZ,1421-086X
KWARTALNIK NEOFILOLOGICZNY,0023-5911
KYBERNETES,0368-492X
KYKÉION,1592-9914
KYKÉION,1724-0484
KYUJANGGAK,1975-6283
L' OFFERTA MUSICALE,.
L’ ELLISSE,1826-0187
L’ALDILÀ,1825-1536
"L’AUTRE, CLINIQUES, CULTURES ET SOCIÉTÉS",1626-5378
L1-EDUCATIONAL STUDIES IN LANGUAGE AND LITERATURE,1573-1731
LA BIBLIOFILIA,0006-0941
LA CAMERA BLU,1827-9198
LA CAVERNA DE PLATÓN,1577-0567
LA CITTADINANZA EUROPEA,2039-2788
LA CIVILTA' CATTOLICA,0009-8167
LA CLINICA TERAPEUTICA,0009-9074
LA COMUNITÀ INTERNAZIONALE,0010-5066
LA CORÓNICA,0193-3892
LA CRITICA SOCIOLOGICA,0011-1546
LA CULTURA,0393-1560
LA CURA,1828-0013
LA FABBRICA DEL LIBRO,1824-257X
LA FAMIGLIA,0392-2774
LA FARDELLIANA,.
LA FIGURA NEL TAPPETO,.
LA FILOSOFIA FUTURA,2282-4022
LA FISICA NELLA SCUOLA,1120-6527
LA FORTEZZA,1972-7402
LA FRECCIA E IL CERCHIO,2037-5069
LA GAZZADA,1594-6053
LA GEOGRAFIA NELLE SCUOLE,0431-1981
LA GÉOGRAPHIE,1627-4911
LA LETTRE DE L'INSTITUT FRANÇOIS MITTERRAND,1634-4510
LA LETTRE DU COLLÈGE DE FRANCE,1628-2329
LA LIBELLULA,2036-3133
LA LINGUISTIQUE,0075-966X
LA NOTTOLA,1123-5543
LA NOTTOLA DI MINERVA,1973-3003
LA NUOVA CRITICA. NUOVA SERIE,1824-9663
LA NUOVA EUROPA,1127-8722
LA NUOVA RICERCA,1593-7577
LA PANARIE,1594-8293
LA PARABOLA,2284-2608
LA PAROLA DEL PASSATO,0031-2355
LA PAROLA DEL TESTO,1125-6486
LA PAROLA E LA CURA,.
LA PORTA D'ORIENTE,.
LA QUESTIONE ROMANTICA,1125-0364
LA RAGIONE POSSIBILE,1128-725X
LA RASSEGNA DELLA LETTERATURA ITALIANA,0033-9423
LA RASSEGNA MENSILE DI ISRAEL,0033-9792
LA RECHERCHE,0029-5671
LA REVISTA IBEROAMERICANA DE ARGUMENTACIÓN,.
LA RÉVOLUTION FRANÇAISE,2105-2557
LA REVUE DES LETTRES MODERNES. PAUL VALÉRY,0180-9466
LA REVUE INTERNATIONALE DE L'ÉDUCATION FAMILIALE,1279-7766
LA REVUE INTERNATIONALE DE L'ÉDUCATION FAMILIALE,1968-388X
LA RICERCA FOLKLORICA,0391-9099
LA RIVISTA DEI LIBRI,1124-4216
LA RIVISTA DI ENGRAMMA,1826-901X
LA RIVISTA DI FORMARENETWORK,2037-0628
LA RIVISTA DI PEDAGOGIA E DI DIDATTICA,1971-4793
LA RIVISTA DI SERVIZIO SOCIALE,0035-6522
LA RIVISTA ITALIANA DI CURE PALLIATIVE,2036-8399
LA SCUOLA CATTOLICA,0036-9810
LA SCUOLA CLASSICA DI CREMONA,2281-146X
LA SOCIETÀ DEGLI INDIVIDUI,1590-7031
LA TORRE DEL VIRREY,1885-7353
LA TORRE DI BABELE,1724-3114
LA VALLE DELL'EDEN,1970-6391
LA VITA SCOLASTICA,0042-7349
LAB ANIMAL,0093-7355
L'ABACO,1722-5450
LABEO,0023-6462
LABIRINTI DEL FANTASTICO,.
LABOR,1547-6715
LABOR HISTORY,0023-656X
LABORATOIRE ITALIEN,1627-9204
"LABORATORIO DELL'ISPF RIVISTA ELETTRONICA DI TESTI, SAGGI E STRUMENTI",1824-9817
LABORATORIO EDUCATIVO MERIDIONALE PER L'EUROPA,1122-2492
LABOREAL,1646-5237
LABYRINTHE,1288-6289
LADINIA,1124-1004
L'ALIGHIERI,0516-6551
L'ALMANACCO,1120-2599
L'ALMANACCO BIBLIOGRAFICO,1972-8697
L'ANALISI LINGUISTICA E LETTERARIA,1122-1917
LANCET ONCOLOGY,1470-2045
LANCILLOTTO E NAUSICA,0393-5884
LAND DEGRADATION & DEVELOPMENT,1085-3278
"LAND REFORM, LAND SETTLEMENT AND COOPERATIVES",0251-1894
LANDSCAPE AND URBAN PLANNING,0169-2046
LANDSCAPE RESEARCH,0142-6397
LANDSCAPES,1466-2035
LANGAGE & INCONSCIENT,1779-4374
LANGHE ROERO MONFERRATO,2282-6173
LANGUAGE,0097-8507
LANGUAGE & COMMUNICATION,0271-5309
LANGUAGE AND COGNITIVE PROCESSES,0169-0965
LANGUAGE AND DIALOGUE,2210-4119
LANGUAGE AND INTERCULTURAL COMMUNICATION,1470-8477
LANGUAGE POLICY,1568-4555
LANGUAGE POLICY,1573-1863
LANGUAGE PROBLEMS & LANGUAGE PLANNING,0272-2690
L'ANNALE IRSIFAR,.
L'ANNÉE SOCIOLOGIQUE,0066-2399
L'ANTIQUITE CLASSIQUE,0770-2817
L'APE INGEGNOSA,1721-3967
L'ARCHIGINNASIO,0409-5448
L'ARCO DI GIANO,1721-0178
LARES,0023-8503
LASER & TECHNOLOGY,1121-0656
L'ASTRONOMIE,0004-6302
L'ATELIER DU CRH,1760-7914
LATERALITY,1357-650X
LATERANUM,1010-7215
LATIN AMERICANIST,1557-203X
LATINITAS,0023-883X
LATINITAS,2310-161X
LATOMUS,0023-8856
LATOMUS,2294-4427
LAURENTIANUM,0023-902X
LAVAL THÉOLOGIQUE ET PHILOSOPHIQUE,0023-9054
LAVERNA,0938-5835
LAVORO SOCIALE,1721-4149
LAW AND CRITIQUE,0957-8536
LAW AND LITERATURE,1535-685X
LAW AND PHILOSOPHY,0167-5249
LAW AND PHILOSOPHY,1573-0522
LAW AND THE HUMAN GENOME REVIEW,1134-7708
LC RIVISTA ON-LINE DEL DIPARTIMENTO DI LETTERATURE E CULTURE EUROPEE.,1974-9465
LE CARRÉ BLEU,0008-6878
LE CARTE E LA STORIA,1123-5624
LE CERCLE HERMÉNEUTIQUE,1762-4371
LE DÉBAT,0246-2346
LE DUE CITTA',2239-5105
LE FORME E LA STORIA,1121-2276
LE GLOBE,0398-3412
LE ISTITUZIONI DEL FEDERALISMO,1126-7917
LE JOURNAL DES PROFESSIONNELS DE LA PETITE ENFANCE,2114-2025
LE MÉDIÉVISTE ET L'ORDINATEUR,0223-3843
LE MONDE DES CARTES,1634-3522
LE MOUVEMENT SOCIAL,1961-8646
LE MOYEN-ÂGE,0027-2841
LE MUSEON,0771-6494
LE MUSÉON,1783-158X
LE NUOVE FRONTIERE DELLA SCUOLA,2281-9681
LE PHILOSOPHOIRE,1283-7091
LE SIMPLEGADI,1824-5226
LE TEMPS DES MÉDIAS,1764-2507
LEADERSHIP,1742-7150
LEARNING AND INSTRUCTION,0959-4752
LEARNING DISABILITY PRACTICE,1465-8712
LEARNING DISABILITY PRACTICE,2047-8968
LEARNING DISABILITY QUARTERLY,0731-9487
LEARNING FOR DEMOCRACY,1743-4912
LEARNING TECHNOLOGY,1438-0625
"LEARNING, MEDIA AND TECHNOLOGY",1743-9884
LEBENSWELT,2240-9599
LECTORA,1136-5781
L'EDUCATORE,0391-6375
